linkPVID,mean_surveyed,mean_slope,abs_err,rel_err
67948961,0.9687999999999999,-5.527429728482236,6.496229728482236,6.705439438978361
781555892,0,1.8699123767677102,1.8699123767677102,undefined
811593144,0,23.733238483005,23.733238483005,undefined
572248975,0,-16.128609839646554,16.128609839646554,undefined
51867695,0.11850000000000001,-26.60965566140838,26.72815566140838,225.5540562144167
554728228,1.2445,0.009215986826109615,1.2352840131738902,0.992594626897461
51867645,0.0855,-7.570167548128669,7.655667548128669,89.53997132314232
51866678,0.0845,14.359971597391397,14.275471597391396,168.94049227682126
799517967,0.0455,10.398133146136713,10.352633146136712,227.53039881619148
51865408,0.0315,-6.288686766152487,6.320186766152487,200.64084971912658
762732452,0.009,-9.721177885795765,9.730177885795765,1081.1308761995294
766663330,0,0.0,0.0,undefined
766663328,0,1.1748281718868208,1.1748281718868208,undefined
762732447,0.088,-2.729267830777055,2.817267830777055,32.01440716792108
719953785,0.03,0.13720482189992364,0.10720482189992364,3.5734940633307883
716671988,0.0235,1.030887387506679,1.007387387506679,42.867548404539534
51881430,0.0545,3.9590348846124503,3.9045348846124504,71.6428419194945
51888926,0.2104,-4.730120983353883,4.940520983353883,23.4815636090964
554739608,0.092,0.6089243428702685,0.5169243428702686,5.618742857285528
51867079,0.083,-0.6017020683347725,0.6847020683347724,8.2494225100575
554739611,0.145,0.0,0.145,1.0